clid	calldate	src	dst	dcontext	channel	lastapp	billsec
9191663773	2019-11-13 14:08:20	9191663773	s	incoming	Local/s@incoming-00011460;2	Dial	2
89997502230	2019-11-13 14:07:12	89997502230	909800	incoming	DAHDI/i1/89997502230-13d18	Dial	76
84742345709	2019-11-13 14:08:00	84742345709	909800	incoming	DAHDI/i1/84742345709-13d1b	Dial	29
4742349804	2019-11-13 14:08:52	4742349804	s	incoming	Local/s@incoming-00011464;2	Dial	3
4742349804	2019-11-13 14:08:52	4742349804	242717	incoming	SIP/megafon-000484eb	Dial	7
4742349804	2019-11-13 14:09:05	4742349804	s	incoming	Local/s@incoming-00011466;2	Dial	3
9191663773	2019-11-13 14:08:20	9191663773	909800	incoming	DAHDI/i1/9191663773-13d1d	Dial	83
84742381243	2019-11-13 14:09:48	84742381243	s	incoming	Local/s@incoming-0001146a;2	Dial	2
4742349804	2019-11-13 14:09:05	4742349804	242717	incoming	SIP/megafon-000484ec	Dial	58
89997502230	2019-11-13 14:10:12	89997502230	s	incoming	Local/s@incoming-0001146c;2	Dial	2
4742349804	2019-11-13 14:10:12	4742349804	s	incoming	Local/s@incoming-0001146e;2	Dial	3
4742349804	2019-11-13 14:10:12	4742349804	242717	incoming	SIP/megafon-000484fc	Dial	13
